taxon;scientific_name;Visibility;Traits.ID;Genus;Species;Invasive.To.Political.Region1;Morphospecies;Contributor;Latitude;Longitude;Head.width.across.eyes..mm.;Head.length..mm.;Clypeus.length..mm.;Mandible.length..mm.;Hind.femur.length..mm.;Scape.length..mm.;Weber.s.length..mm.;Pronotum.width..mm.;Inter.ocular.width..mm.;Max.eye.width..mm.;Whole.body.length..mm.;Number.of.Spines....;taxon_no_data
Formicidae;Pseudomyrmex oculatus;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 05;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 06;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex sp. 07;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Pseudomyrmex tenuis;Public;Vasconcelos&Pacheco_noyear_01_traits_145;Pseudomyrmex;tenuis;Native*;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;1.12;1.06;0.08;0.56;1.04;0.56;1.6;0.7;0.56;0.48;Not in paper;0;
Formicidae;Rogeria scandens;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Rogeria sp. 01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Serycomyrmex bondari;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis geminata;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis picea;Public;Donoso_2014_traits_172;Solenopsis;picea;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis picea;Public;Donoso_2014_traits_173;Solenopsis;picea;Native*;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis saevissima;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 003;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 004;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 006;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 008;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 009;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 012;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 013;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 03;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 08;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Solenopsis sp. 09;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Tennothorax sp. 01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Tennothorax sp. 02;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Trachymyrmex sp. 01;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Wasmannia auropunctata;Public;Baccaro_noyear_traits_0;Wasmannia;auropunctata;Unknown;FALSE;Baccaro;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Wasmannia auropunctata;Public;Donoso_2014_traits_31;Wasmannia;auropunctata;Unknown;FALSE;Donoso;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;
Formicidae;Wasmannia auropunctata;Public;Vasconcelos&Pacheco_noyear_01_traits_87;Wasmannia;auropunctata;Native;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-15.95797267;-47.92049733;0.48;0.48;0.14;0.21;0.43;0.38;0.53;0.3;0.36;0.09;Not in paper;2;
Formicidae;Wasmannia auropunctata;Public;Vasconcelos&Pacheco_noyear_01_traits_162;Wasmannia;auropunctata;Native;FALSE;Heraldo L. Vasconcelos & Renata Pacheco;-9.25285;-44.78424333;0.48;0.48;0.14;0.21;0.43;0.38;0.53;0.3;0.36;0.09;Not in paper;2;
