scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Eurillas gracilis;Eurillas gracilis;Pycnonotidae;Passeriformes;AVIBASE-486103D7;11;2;3;6;7;13.9;8.3;3.8;3.8;17.6;72;8.5;62.7;12;68;21.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-8.27;10.34;0.65;15.72;3552112.86;trait available
Eurillas latirostris;Eurillas latirostris;Pycnonotidae;Passeriformes;AVIBASE-728B225E;527;93;34;400;17;15.3;8.9;4.9;4.5;19.7;79.3;10.6;66.3;13.8;74.1;26.2;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;-11.51;12.81;1.34;16.47;3682285.72;trait available
Eurillas virens;Eurillas virens;Pycnonotidae;Passeriformes;AVIBASE-3413C42C;153;18;9;126;64;13.9;8;4.7;4.3;20.6;74.4;9.8;65.9;12.8;70.8;26.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-16.53;13.54;-0.74;16.73;5766996.33;trait available
Florisuga fusca;Florisuga fusca;Trochilidae;Caprimulgiformes;AVIBASE-77B4C75D;11;4;3;4;8;25.2;19.1;2.2;2.7;4.2;75.9;48.7;26.5;64.8;42;8;Updated_literature;BoW;NO;NA;NA;Forest;2;1;Herbivore;Nectarivore;Aerial;-34.98;-13.22;-24.25;-47.53;669732.96;trait available
Fraseria caerulescens;Fraseria caerulescens;Muscicapidae;Passeriformes;AVIBASE-3B3A6911;8;2;3;3;7;14.1;8.3;4;3.9;16.7;79.2;16.6;63;20.8;61.9;17.6;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-33.51;12.19;-8.77;24.8;7513617.5;trait available
Gallirex porphyreolophus;Gallirex porphyreolophus;Musophagidae;Musophagiformes;AVIBASE-76E45A19;18;9;9;0;8;25.2;10.8;6.4;10.9;38.7;180.8;20.3;161.3;11.2;181.1;259;Dunning;NA;NO;NA;NA;Woodland;2;1;Herbivore;Frugivore;Insessorial;-30.6;-0.14;-14.2;33.93;2166499.58;trait available
Galloperdix spadicea;Galloperdix spadicea;Phasianidae;Galliformes;AVIBASE-730665C1;5;2;3;0;4;21;10.3;5.8;6;41.8;144.8;27.3;116.2;19;117.8;359.1;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Omnivore;Terrestrial;9.16;26.75;19.63;78.59;1175974.86;trait available
Geokichla citrina;Geokichla citrina;Turdidae;Passeriformes;AVIBASE-F82540A0;5;1;2;2;4;21.7;13.2;4.7;5.9;31.1;118.2;33.3;79.2;29.6;73.4;53.3;Dunning;NA;NO;NA;NA;Forest;1;3;Omnivore;Omnivore;Generalist;-8.85;34.17;21.21;95.99;3199105.31;trait available
Geokichla crossleyi;Geokichla crossleyi;Turdidae;Passeriformes;AVIBASE-4745E8A7;5;2;3;0;4;22.7;14.6;5.3;7.1;33.4;107.6;24.6;83.4;22.8;74.8;72;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Terrestrial;-4.43;7.67;3.88;14.74;79399.47;trait available
Geokichla gurneyi;Geokichla gurneyi;Turdidae;Passeriformes;AVIBASE-45C55FDE;14;4;5;5;9;22.8;13.3;5;6.5;33.9;108;26.2;82.4;24.1;81;57.9;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Terrestrial;-32.87;0.17;-14.57;33.31;421268.02;trait available
Geothlypis formosa;Geothlypis formosa;Parulidae;Passeriformes;AVIBASE-8C105C3C;19;4;13;2;4;13.8;8.7;3.5;3.7;22.8;66.9;16.6;50;24.9;48.1;14;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Generalist;29.58;44.47;36.24;-86.53;1970256.38;trait available
Gracula religiosa;Gracula religiosa;Sturnidae;Passeriformes;AVIBASE-B2741AD0;18;7;11;0;18;33;21;10;12.9;37.8;169.3;43.9;125.5;26;79.8;192;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-8.85;29.93;12.45;101.59;3864550.11;trait available
Haemorhous mexicanus;Haemorhous mexicanus;Fringillidae;Passeriformes;AVIBASE-89431E9F;5;2;3;0;4;10.6;8.4;6.6;8.2;17.4;77.2;21.2;55.8;27.5;66.2;21.4;Dunning;NA;NO;NA;NA;Shrubland;2;2;Herbivore;Granivore;Insessorial;16.79;55.29;38.88;-100.57;10299459.91;trait available
Hedydipna collaris;Hedydipna collaris;Nectariniidae;Passeriformes;AVIBASE-1611F295;34;15;19;0;17;15.3;10.4;3.2;3.1;15.4;51.1;7;44.1;13.8;35.4;7;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Invertivore;Insessorial;-34.21;14.87;-4.74;23.59;9197435.7;trait available
Himalayapsitta cyanocephala;Himalayapsitta cyanocephala;Psittacidae;Psittaciformes;AVIBASE-109000B4;10;2;8;0;10;21.4;17.6;11.6;17.1;12.5;127.1;64.6;62.5;50.8;197.1;66;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;5.92;33.45;21.73;78.9;2783564.24;trait available
Horizocerus albocristatus;Horizocerus albocristatus;Bucerotidae;Bucerotiformes;AVIBASE-8009A6BC;9;3;6;0;4;89.8;76.2;24.4;35.2;35.9;233.1;37.6;201.7;15.7;397.9;289.4;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;4.35;8.9;6.8;-6.05;479716.63;trait available
Horornis canturians;Horornis canturians;Scotocercidae;Passeriformes;AVIBASE-CF833D56;5;2;2;1;4;16.7;8.8;3.2;3.9;26.6;71.6;12.9;57.6;18.2;70.8;22.3;Updated_literature;BoW;NO;NA;NA;Shrubland;1;2;Carnivore;Invertivore;Generalist;29.14;45.88;35.99;118.88;1372661.27;trait available
Horornis fortipes;Horornis fortipes;Scotocercidae;Passeriformes;AVIBASE-16508376;5;2;3;0;4;13.5;6.8;2.6;2.9;21.1;52.7;5.9;46.5;11.3;44.2;9.6;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Generalist;20.23;35.58;27.9;105.4;2424335.04;trait available
Hylatomus lineatus;Hylatomus lineatus;Picidae;Piciformes;AVIBASE-37C7AB16;30;11;18;1;12;41.6;30.8;11;10.2;28.5;185.9;40.9;146.9;21.7;123.6;183.2;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-32.17;29.68;-5.73;-60.98;13770543.52;trait available
Hylatomus pileatus;Hylatomus pileatus;Picidae;Piciformes;AVIBASE-00635FF9;7;3;4;0;3;52.1;37.4;14.6;11.9;29.3;228.4;56.4;166.6;25.3;167.3;286.6;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;24.53;58.16;45.18;-93.77;5925872.32;trait available
Icterus cayanensis;Icterus cayanensis;Icteridae;Passeriformes;AVIBASE-D2DACB94;5;2;2;1;4;23.2;14.4;4.3;5.8;23.2;98.6;15.3;83.2;15.6;97.4;35.4;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-17.44;6;-6.13;-60.41;4104473.13;trait available
Iduna natalensis;Iduna natalensis;Acrocephalidae;Passeriformes;AVIBASE-EBBD09CA;5;2;3;0;4;14.6;7.8;4.9;3.4;20.7;61.5;8.4;52.7;13.8;60.8;11.7;Dunning;NA;NO;NA;NA;Shrubland;2;1;Carnivore;Invertivore;Insessorial;-32.66;11.63;-8.74;26.84;3742433.69;trait available
Iduna opaca;Iduna opaca;Acrocephalidae;Passeriformes;AVIBASE-A7275096;4;2;2;0;4;16.7;9.1;4.2;3.3;22.6;68.6;15.5;53.1;22.6;57.8;9;Dunning;NA;NO;NA;NA;Shrubland;2;3;Carnivore;Invertivore;Insessorial;24.57;42.77;33.54;-2.64;515405.67;trait available
Iole charlottae;Iole charlottae;Pycnonotidae;Passeriformes;AVIBASE-044240A9;6;2;3;1;4;20.6;13.2;5.3;5.4;18.5;87.3;15.6;72;17.9;72;24;Updated_literature;BoW;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;-6.17;13.52;1.15;108.13;1131173.67;trait available
Ispidina picta;Ispidina picta;Alcedinidae;Coraciiformes;AVIBASE-C0998BB9;18;4;5;9;12;27.4;21.1;6.4;6.1;8.4;52.3;12.1;40.3;23.2;25;12.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-32.98;16.9;-0.83;20.97;13894765.2;trait available
Ixidia cyaniventris;Ixidia cyaniventris;Pycnonotidae;Passeriformes;AVIBASE-31F7A690;7;3;3;1;6;14.6;8.6;3.9;3.9;14.2;75.6;13.4;62.8;17.5;58.6;22;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-5.95;14.54;1.51;108.49;926808.78;trait available
Ixidia erythropthalmos;Ixidia erythropthalmos;Pycnonotidae;Passeriformes;AVIBASE-01D478BD;8;2;3;3;4;13.6;8.6;3.8;3.7;16;74.2;10.8;63.6;14.4;63.8;19.2;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-5.95;10.79;1.11;108.35;1241474.05;trait available
Ixos mcclellandii;Ixos mcclellandii;Pycnonotidae;Passeriformes;AVIBASE-473131CC;4;2;2;0;4;26;15.8;5;5.5;18.3;106;19.2;86.8;18.1;107.8;32.5;Dunning;NA;NO;NA;NA;Woodland;1;1;Omnivore;Omnivore;Insessorial;3.15;32.32;24.56;104.72;2391920.69;trait available
Kaupifalco monogrammicus;Kaupifalco monogrammicus;Accipitridae;Accipitriformes;AVIBASE-3EEB66ED;5;2;3;0;4;29.3;15.8;10.1;12.8;53.1;217.4;70.4;146.8;32.4;142.6;278.9;Dunning;NA;NO;NA;NA;Woodland;3;1;Carnivore;Invertivore;Insessorial;-29.27;17.06;-0.96;19.34;13079368.52;trait available
Kempiella flavovirescens;Kempiella flavovirescens;Petroicidae;Passeriformes;AVIBASE-FD1036BD;4;2;2;0;4;13.7;8.6;4.4;3.9;12.5;78;18.4;59.6;23.5;62;15;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10.72;0.04;-5.35;140.96;669110.72;trait available
Kittacincla malabarica;Kittacincla malabarica;Muscicapidae;Passeriformes;AVIBASE-E5ABD6CB;22;5;13;4;12;20.7;12.8;4.6;5.4;27;95.6;16.8;78.8;17.7;121.8;29.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-8.78;30.6;13.24;98.35;4340999.43;trait available
Kurochkinegramma hypogrammica;Kurochkinegramma hypogrammica;Nectariniidae;Passeriformes;AVIBASE-7700E7E6;12;3;3;6;4;21.5;15.9;3.7;3.5;16.4;66.2;9.1;57.4;13.7;47.2;11.4;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-5.95;26.42;7.01;105.83;2037212.16;trait available
Laniarius aethiopicus;Laniarius aethiopicus;Malaconotidae;Passeriformes;AVIBASE-FBB58997;14;4;9;1;3;25.1;13.8;6.1;8.1;33.9;97.6;7.7;89.8;7.9;90.1;49.4;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-24.33;17.93;-2.02;25.08;7211323.51;trait available
Laniarius ferrugineus;Laniarius ferrugineus;Malaconotidae;Passeriformes;AVIBASE-2849059D;16;2;14;0;4;26.5;14.4;6.5;8.7;36.4;95.6;7.3;88.3;7.6;89.1;46.8;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-34.84;-18.79;-27.1;29.41;721209.79;trait available
Laniarius poensis;Laniarius poensis;Malaconotidae;Passeriformes;AVIBASE-86E96D4D;11;3;8;0;10;23.6;13.8;6.1;7.9;29.5;78.2;5.4;73.4;6.9;65;44.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-2.97;7.92;6.02;10.45;65722.14;trait available
Leptocoma aspasia;Leptocoma aspasia;Nectariniidae;Passeriformes;AVIBASE-16EBA05A;78;45;32;1;5;20.2;15.3;3.1;2.4;14;55.3;9.5;44.1;17.6;35.1;8;Updated_literature;BoW;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;-11.66;4.55;-4.7;137.76;916101.7;trait available
Leuconotopicus villosus;Leuconotopicus villosus;Picidae;Piciformes;AVIBASE-9D06AF89;11;5;5;1;4;31.6;24.1;8.2;8.1;23.1;126.7;32.4;95.5;25.3;81.7;62.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;8.48;68.73;47.81;-105.59;13332874.44;trait available
Linaria cannabina;Linaria cannabina;Fringillidae;Passeriformes;AVIBASE-32635892;21;10;11;0;4;12.4;7.8;5;6.6;15.7;78.4;26.9;51.2;34.4;56.2;19.5;Dunning;NA;NO;NA;NA;Shrubland;2;1;Herbivore;Granivore;Terrestrial;27.64;65.97;49.19;33.6;10715477.38;trait available
Locustella luteoventris;Locustella luteoventris;Locustellidae;Passeriformes;AVIBASE-79094AD6;5;2;3;0;4;12.6;7.1;2.6;2.9;19;51.6;5.4;45.9;10.6;55;13.2;Dunning;NA;NO;NA;NA;Shrubland;1;2;Carnivore;Invertivore;Generalist;16.8;29.69;24.82;105.55;1644977.71;trait available
Lophoceros camurus;Lophoceros camurus;Bucerotidae;Bucerotiformes;AVIBASE-53D72911;8;4;4;0;4;63.6;51.5;14.6;23.1;32;153.5;17.4;136.1;11.4;145;103.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5.77;8.34;1.99;12.09;1703130.6;trait available
Lophoceros fasciatus;Lophoceros fasciatus;Bucerotidae;Bucerotiformes;AVIBASE-4B8F7AF5;9;3;6;0;5;93.6;79.4;22.1;34.9;35.1;261.8;56.3;207.4;21.3;233.8;258.8;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Omnivore;Insessorial;-11.07;9;-0.06;19.52;3868026.54;trait available
Lophophanes cristatus;Lophophanes cristatus;Paridae;Passeriformes;AVIBASE-E5531933;24;12;12;0;4;11.3;7;2.6;3.1;17.1;64;12.7;51.3;19.8;51.4;11;Dunning;NA;NO;NA;NA;Woodland;1;1;Omnivore;Invertivore;Insessorial;36;67.68;54.5;26.21;5918314.94;trait available
Lophorina magnifica;Lophorina magnifica;Paradisaeidae;Passeriformes;AVIBASE-D3B4EDA8;15;6;9;0;4;56.6;38.8;6.3;8.6;37;167.3;20.2;157.6;11.4;93.7;149.9;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Frugivore;Insessorial;-13.77;-0.34;-4.79;139.3;495422.81;trait available
Loriculus vernalis;Loriculus vernalis;Psittacidae;Psittaciformes;AVIBASE-A5FA764B;5;2;3;0;4;13.5;10.5;5.6;8.9;9.9;86.8;39;46.5;45.6;36.4;35.7;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;8.56;28.36;18.78;97.17;2278295.57;trait available
Mackenziaena leachii;Mackenziaena leachii;Thamnophilidae;Passeriformes;AVIBASE-B165F898;8;4;4;0;4;25.9;14.2;6.1;9.2;36.4;89.5;4.6;85.3;5;130.4;70.2;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-32.25;-18.68;-25.57;-50.16;828525.05;trait available
Megaceryle alcyon;Megaceryle alcyon;Alcedinidae;Coraciiformes;AVIBASE-3558066B;6;3;3;0;4;58.6;44.8;9.5;13.4;12.5;158.8;53.2;105;33.6;94.3;148;Dunning;NA;NO;NA;NA;Riverine;3;2;Carnivore;Aquatic predator;Insessorial;26.81;68.33;50.37;-106.94;13996585.38;trait available
Megaceryle torquata;Megaceryle torquata;Alcedinidae;Coraciiformes;AVIBASE-5EFB075F;22;12;9;1;4;83.6;65.2;14.9;21.1;14.3;191.3;46.5;143;24.5;120.2;317;Dunning;NA;NO;NA;NA;Riverine;3;1;Carnivore;Aquatic predator;Insessorial;-55.98;27.12;-12.31;-61.64;16295521.19;trait available
Megaloprepia magnifica;Megaloprepia magnifica;Columbidae;Columbiformes;AVIBASE-1A279952;5;1;3;1;4;26.2;11.4;4.7;5.4;24.3;163.5;46.9;116.6;28.7;137.4;185.4;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Frugivore;Insessorial;-34.15;-0.01;-10.36;143.31;979740.41;trait available
Megarynchus pitangua;Megarynchus pitangua;Tyrannidae;Passeriformes;AVIBASE-8118C647;42;13;15;14;7;33.7;24.7;13.9;10.4;19.2;113.5;26.6;87.5;23.3;85.8;69.9;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;-30.09;24.06;-6.11;-60.2;13243099.5;trait available
Melloria quoyi;Melloria quoyi;Artamidae;Passeriformes;AVIBASE-6AEC3F15;16;5;11;0;4;55.7;41.3;13.6;17.5;40.4;175.6;38.8;140.6;21.6;130.6;168;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Omnivore;Insessorial;-23.15;0.04;-8.69;140.54;1145717.61;trait available
Micropternus brachyurus;Micropternus brachyurus;Picidae;Piciformes;AVIBASE-663A7CCA;9;2;4;3;8;28;19.4;7.5;7.9;20;118.2;20.9;96.2;17.9;66;85.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-8.08;31.16;17.03;99.44;6131273.93;trait available
Microptilotis analogus;Microptilotis analogus;Meliphagidae;Passeriformes;AVIBASE-9AEF905F;14;4;10;0;4;21.9;9.8;3;4.1;23.2;81.1;9.5;68;12.1;64.3;21.6;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Omnivore;Insessorial;-10.73;0.59;-5.34;140.95;636132.66;trait available
Mixornis bornensis;Mixornis bornensis;Timaliidae;Passeriformes;AVIBASE-A9C71560;6;2;2;2;4;15.8;9.1;3.5;3.8;19.1;62.7;5.7;57;9.1;54.5;11.8;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-7.82;7.36;0.44;113.7;714008.81;trait available
Motacilla flava;Motacilla flava;Motacillidae;Passeriformes;AVIBASE-5983D677;21;10;11;0;4;16;9.6;3.2;3.5;23.1;79.5;24.7;54.5;31.1;70.6;17.7;Dunning;NA;NO;NA;NA;Grassland;3;3;Carnivore;Invertivore;Terrestrial;17.62;72.89;53.37;57.63;19198163.05;trait available
Myiothlypis leucoblephara;Myiothlypis leucoblephara;Parulidae;Passeriformes;AVIBASE-D65E2A9D;9;3;5;1;4;14.5;8.3;3.5;3.6;23.7;64.4;10.2;54.2;15.9;57.2;15.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;-34.98;-19.72;-27.16;-53.47;1572872.23;trait available
Myrmoderus squamosus;Myrmoderus squamosus;Thamnophilidae;Passeriformes;AVIBASE-A17A24AF;12;5;7;0;6;16.3;8.8;3.7;3.7;27.2;60;5.5;55;9;64.3;18.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;-30.58;-21.98;-25.18;-48.19;241730.2;trait available
Nannopterum brasilianus;Nannopterum brasilianus;Phalacrocoracidae;Suliformes;AVIBASE-56036504;10;4;5;1;2;62.6;44.6;11.9;14.9;48.7;275.4;91.8;191.7;32.4;187.2;1239.3;Dunning;NA;NO;NA;NA;Wetland;3;1;Carnivore;Aquatic predator;Generalist;-55.98;34.12;-11.18;-65.4;18288655.94;trait available
Neopelma chrysocephalum;Neopelma chrysocephalum;Pipridae;Passeriformes;AVIBASE-CBFD1721;4;2;2;0;4;14.6;9.4;4.9;4.1;15.2;65.2;13.3;51.9;20.4;46.5;15.5;Dunning;NA;NO;NA;NA;Shrubland;1;1;Omnivore;Frugivore;Insessorial;-4.13;7.68;3.12;-62.81;704022.97;trait available
Nigrita canicapillus;Nigrita canicapillus;Estrildidae;Passeriformes;AVIBASE-B15F4C49;25;8;14;3;11;13.5;9.6;6.2;5.8;16.1;68.2;13.9;53.9;20.5;47.9;18.7;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;-10.94;10.44;0.06;17.12;3831512;trait available
Nigrita fusconotus;Nigrita fusconotus;Estrildidae;Passeriformes;AVIBASE-F3B46894;14;4;10;0;9;10.5;7.2;4;3.7;13.9;52.6;10.8;41.7;20.5;40.9;9.1;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;-9.74;9.95;-0.5;16.98;2969480.86;trait available
Oreocossypha isabellae;Oreocossypha isabellae;Muscicapidae;Passeriformes;AVIBASE-DB856F78;5;2;3;0;4;16.5;9.2;4.3;4.3;29.5;73.6;9.7;63.3;13.3;53.2;24;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Generalist;4.07;7.62;6.12;10.56;51494.15;trait available
Pachysylvia aurantiifrons;Pachysylvia aurantiifrons;Vireonidae;Passeriformes;AVIBASE-05336066;13;4;9;0;4;16.1;8.9;3.9;4;17.6;54.9;6.4;48.5;11.7;44.7;9.5;Dunning;NA;NO;NA;NA;Woodland;1;1;Carnivore;Invertivore;Insessorial;5.56;12.49;9.08;-69.84;611619.82;trait available
Pachysylvia decurtata;Pachysylvia decurtata;Vireonidae;Passeriformes;AVIBASE-58274D5F;34;8;20;6;5;14.6;8.4;3.5;3.7;16.9;52.5;6.8;46.7;12.8;36;8.5;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;-4.29;21.58;12.53;-85.99;856443.06;trait available
Pardaliparus venustulus;Pardaliparus venustulus;Paridae;Passeriformes;AVIBASE-219D942F;4;2;2;0;4;11.8;7.4;3.7;3.9;7.2;63.2;15.4;47.9;24.3;34.5;10.6;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Insessorial;24.51;41.89;31.64;110.34;1615993.56;trait available
Parkesia motacilla;Parkesia motacilla;Parulidae;Passeriformes;AVIBASE-7AB0F3A4;5;2;3;0;4;17.1;11;4.2;4.5;22.3;79.8;23.6;56.1;29.7;49;19.9;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Terrestrial;28.69;46.45;37.78;-85.92;2411690.61;trait available
Passer cinnamomeus;Passer cinnamomeus;Passeridae;Passeriformes;AVIBASE-469D6B56;5;2;3;0;4;12.8;9.1;6.2;7;17.2;69;21.6;46.7;31.5;50;18.5;Dunning;NA;NO;NA;NA;Forest;2;1;Herbivore;Granivore;Terrestrial;19.19;48.05;30.87;108.08;4611660.97;trait available
Passerina caerulea;Passerina caerulea;Cardinalidae;Passeriformes;AVIBASE-A7A75EA1;22;7;14;1;7;17;12.3;7.4;10.9;20.3;86.1;19.9;67.2;22.9;64.4;27.4;Dunning;NA;NO;NA;NA;Forest;2;3;Carnivore;Invertivore;Generalist;9.17;46.7;32.93;-98.5;5300267.2;trait available
Patagioenas cayennensis;Patagioenas cayennensis;Columbidae;Columbiformes;AVIBASE-A8908194;13;5;8;0;6;24.5;12.1;4.6;5.5;23.4;180.3;62.8;115.9;35.1;112.7;229;Dunning;NA;NO;NA;NA;Forest;3;1;Herbivore;Frugivore;Insessorial;-32.2;20.43;-7.62;-59.02;13517479.29;trait available
Patagioenas picazuro;Patagioenas picazuro;Columbidae;Columbiformes;AVIBASE-C7405D19;5;1;4;0;4;25.3;14.6;4.8;6.7;30.3;218.2;81.9;136.1;37.6;131.8;279;Dunning;NA;NO;NA;NA;Forest;3;1;Herbivore;Omnivore;Generalist;-39.01;-4.34;-21.04;-52.92;5829252.93;trait available
Peliperdix lathami;Peliperdix lathami;Phasianidae;Galliformes;AVIBASE-E11585DB;5;2;3;0;4;20.4;10.5;6;5.5;38.2;135.2;35.8;99.2;26.5;61;269;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Terrestrial;-6.02;9.27;2.16;14.09;2655327.38;trait available
Periparus ater;Periparus ater;Paridae;Passeriformes;AVIBASE-166CD440;26;13;13;0;4;10.7;6.3;3;3.6;15.1;61.1;13.4;47.9;21.9;46.4;9.2;Dunning;NA;NO;NA;NA;Forest;1;1;Omnivore;Invertivore;Insessorial;23.02;68.98;52.81;75.18;18987457.58;trait available
Philydor rufum;Philydor rufum;Furnariidae;Passeriformes;AVIBASE-A9CCA8B6;10;2;8;0;4;20.6;13.3;4.3;5.6;24.1;87.4;17.2;70.5;19.8;85;25;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-29.01;11.24;-18.59;-54.04;2187683.25;trait available
Phoenicurus fuliginosus;Phoenicurus fuliginosus;Muscicapidae;Passeriformes;AVIBASE-1850B440;5;2;3;0;4;13.1;7.3;3.3;3.2;22.7;73.6;18.8;55.2;25.4;52.8;20.3;Dunning;NA;NO;NA;NA;Riverine;3;1;Carnivore;Aquatic predator;Insessorial;18.16;46.5;30.39;106.46;5100213.95;trait available
Pholia sharpii;Pholia sharpii;Sturnidae;Passeriformes;AVIBASE-D6F2837E;9;3;6;0;4;17.6;8.2;4.9;4.4;21.1;102.7;29.5;74;28.5;63.9;41;Dunning;NA;NO;NA;NA;Forest;1;2;Herbivore;Frugivore;Insessorial;-9.36;9.12;0.33;34.25;195406.84;trait available
Phylloscopus collybita;Phylloscopus collybita;Phylloscopidae;Passeriformes;AVIBASE-458C8CBE;17;8;9;0;4;11.6;6;2.3;2.2;19.7;58.8;10.8;47.7;18.4;48.5;8.3;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;35.32;70.14;53.49;26.75;7564956.38;trait available
Phylloscopus ruficapilla;Phylloscopus ruficapilla;Phylloscopidae;Passeriformes;AVIBASE-F6B77E64;25;2;3;20;23;11.4;6;2.8;2.3;19.3;52.4;7.4;44.9;14.2;41.2;7.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-34.84;-3.05;-21.82;31.32;423407.96;trait available
Phylloscopus trochiloides;Phylloscopus trochiloides;Phylloscopidae;Passeriformes;AVIBASE-23EF1BD9;12;4;8;0;8;11.3;6.4;3;2.6;18.7;61.3;12.2;49;19.9;48.4;8.1;Dunning;NA;NO;NA;NA;Forest;1;3;Carnivore;Invertivore;Insessorial;26.83;68.55;50.47;62.37;8430367.15;trait available
Picoides canicapillus;Picoides canicapillus;Picidae;Piciformes;AVIBASE-5A4F2DF6;9;3;4;2;8;16.8;13.7;5.1;5.1;14.2;83.3;23.6;60;28.3;42.3;25.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-5.95;52.8;27.99;112.03;8010257.64;trait available
Platyrinchus mystaceus;Platyrinchus mystaceus;Tyrannidae;Passeriformes;AVIBASE-EBAE6077;34;9;22;3;9;13.1;6.6;7.3;3.6;15.6;55;8.3;45.1;15.5;29.9;9.7;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-30;11.53;-13.01;-49.85;5068143.97;trait available
