scientific_name;new name;Family1;Order1;Avibase.ID1;Total.individuals;Female;Male;Unknown;Complete.measures;Beak.Length_Culmen;Beak.Length_Nares;Beak.Width;Beak.Depth;Tarsus.Length;Wing.Length;Kipps.Distance;Secondary1;Hand.Wing.Index;Tail.Length;Mass;Mass.Source;Mass.Refs.Other;Inference;Traits.inferred;Reference.species;Habitat;Habitat.Density;Migration;Trophic.Level;Trophic.Niche;Primary.Lifestyle;Min.Latitude;Max.Latitude;Centroid.Latitude;Centroid.Longitude;Range.Size;taxon_no_data
Symposiachrus manadensis;Symposiachrus manadensis;Monarchidae;Passeriformes;AVIBASE-EE23F0DC;9;2;6;1;4;16.6;9.4;5.3;4.5;17.6;84.1;14.5;70;17.1;73.8;22.5;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-10.73;-0.34;-4.84;140.88;445281.04;trait available
Symposiachrus rubiensis;Symposiachrus rubiensis;Monarchidae;Passeriformes;AVIBASE-9215DC4C;8;2;6;0;4;19.3;10.8;6.3;5.3;19.4;95;15.8;79.2;16.6;81.1;27.3;Inferred;NA;YES;Body Mass;Monarcha castaneiventris;Forest;1;1;Carnivore;Invertivore;Insessorial;-9.24;-1.47;-5.19;139.79;243646.73;trait available
Synallaxis ruficapilla;Synallaxis ruficapilla;Furnariidae;Passeriformes;AVIBASE-9D69DD94;9;3;6;0;4;15.3;8.9;2.8;3.6;20.3;55.9;6.4;48.6;11.6;74.3;13.8;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-29.76;-17.73;-23.4;-49.17;1174516.01;trait available
Tangara cyanoptera;Tangara cyanoptera;Thraupidae;Passeriformes;AVIBASE-AF14F9B4;4;2;2;0;4;17.9;10;6.4;7.8;20.8;96.1;24;72.1;25;66.5;43.3;Dunning;NA;NO;NA;NA;Forest;1;1;Herbivore;Frugivore;Insessorial;-32.17;-14.11;-23.32;-45.2;224069.57;trait available
Tangara episcopus;Tangara episcopus;Thraupidae;Passeriformes;AVIBASE-EFCDB0EC;148;8;13;127;8;14.2;9.5;6.4;6.7;22.3;87.3;20.7;69.9;22.8;64;35;Dunning;NA;NO;NA;NA;Forest;2;1;Omnivore;Omnivore;Insessorial;-17.17;21.61;-0.06;-66.15;7925679.12;trait available
Tangara sayaca;Tangara sayaca;Thraupidae;Passeriformes;AVIBASE-67E55116;22;10;11;1;4;15.5;9.2;6.5;7.2;19.6;90.3;21.1;69;23.5;66;32.5;Dunning;NA;NO;NA;NA;Forest;3;1;Herbivore;Omnivore;Insessorial;-35.22;-2.37;-18.66;-51.8;6566312.61;trait available
Tchagra senegalus;Tchagra senegalus;Malaconotidae;Passeriformes;AVIBASE-022798AB;24;4;12;8;8;23.2;12;5.7;7.2;29.6;84.8;8.1;76.7;9.5;93.4;53.5;Dunning;NA;NO;NA;NA;Shrubland;3;1;Carnivore;Invertivore;Terrestrial;-33.63;37.35;0.02;21.07;14953687.11;trait available
Thlypopsis pyrrhocoma;Thlypopsis pyrrhocoma;Thraupidae;Passeriformes;AVIBASE-2D483804;5;2;3;0;4;15.1;8.9;4.7;5.6;21.3;63.4;8.9;54.8;13.9;60;15.6;Dunning;NA;NO;NA;NA;Forest;1;2;Carnivore;Invertivore;Insessorial;-29.97;-19.49;-25.88;-51.1;611568.56;trait available
Thryophilus rufalbus;Thryophilus rufalbus;Troglodytidae;Passeriformes;AVIBASE-0A9020EB;11;6;4;1;5;19.6;12.2;3.3;4.4;22.8;69.1;8.5;62.3;12;51.8;24.9;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;2.47;16.4;8.75;-73.46;821636.36;trait available
Thryothorus ludovicianus;Thryothorus ludovicianus;Troglodytidae;Passeriformes;AVIBASE-5217F951;13;3;6;4;10;16.9;11.1;3.2;3.9;21.4;59.4;6.8;52.6;11.4;50.7;19;Dunning;NA;NO;NA;NA;Woodland;2;1;Carnivore;Invertivore;Insessorial;21.45;45.64;35.21;-87.93;3040027.22;trait available
Tigrisoma lineatum;Tigrisoma lineatum;Ardeidae;Pelecaniformes;AVIBASE-435D9988;7;1;3;3;4;109.4;81.8;12.4;20.4;98.8;306.7;50.4;253.2;16.8;135.1;813;Dunning;NA;NO;NA;NA;Wetland;2;1;Carnivore;Aquatic predator;Terrestrial;-36.04;15.16;-9.3;-57.78;13239678.28;trait available
Trachylaemus purpuratus;Trachylaemus purpuratus;Lybiidae;Piciformes;AVIBASE-80BC978E;9;2;5;2;4;27;16.6;9.4;11.1;28.6;106.8;11.4;95.4;10.6;92.7;76.1;Dunning;NA;NO;NA;NA;Forest;1;1;Carnivore;Invertivore;Insessorial;-11.19;7.53;-0.1;20.38;3484026.33;trait available
Treron calvus;Treron calvus;Columbidae;Columbiformes;AVIBASE-E9C05A9C;21;12;9;0;8;23;11.5;6;6.8;22.9;160.6;61.1;99.3;38.1;86.4;197.5;Dunning;NA;NO;NA;NA;Forest;2;2;Herbivore;Frugivore;Insessorial;-25.56;16.04;-2.7;19.34;10739326.33;trait available
Trichastoma malaccense;Trichastoma malaccense;Pellorneidae;Passeriformes;AVIBASE-BF150AB3;11;2;3;6;4;17.5;10.3;4.1;4.3;29.5;69;5;63.6;7.4;36;21.4;Dunning;NA;NO;NA;NA;Forest;2;1;Carnivore;Invertivore;Generalist;-5.89;9.37;1.08;109.14;1073369.64;trait available
Troglodytes aedon;Troglodytes aedon;Troglodytidae;Passeriformes;AVIBASE-7B6E99A9;104;12;20;72;26;15.9;9.8;3;3.1;20.1;51.4;6.7;44.9;12.9;41.1;10.9;Dunning;NA;NO;NA;NA;Shrubland;3;1;Carnivore;Invertivore;Insessorial;-55.72;59.66;4.96;-75.18;25653883.47;trait available
