taxon;scientific_name;revised_name;category;body_mass;diet;foraging_strata;activity_period;taxon_no_data
Mammalia;Mazama_spp.;Mazama_spp.;morphospecies;20059.93;herbivore;G;cathemeral;trait available
Mammalia;Megaderma_spasma;Megaderma_spasma;up_to_date;25.4;omnivorous;G;nocturnal;trait available
Mammalia;Meles_meles;Meles_meles;up_to_date;13000;omnivorous;G;diurnal;trait available
Mammalia;Menetes_berdmorei;Menetes_berdmorei;up_to_date;190;herbivore;S;diurnal;trait available
Mammalia;Mesophylla_macconnelli;Mesophylla_macconnelli;up_to_date;6.9;herbivore;Ar;nocturnal;trait available
Mammalia;Metachirus_nudicaudatus;Metachirus_nudicaudatus;up_to_date;375;omnivorous;S;nocturnal;trait available
Mammalia;Microgale_cowani;Microgale_cowani;up_to_date;13.8;carnivore;G;cathemeral;trait available
Mammalia;Microgale_dobsoni;Microgale_dobsoni;up_to_date;38;carnivore;G;cathemeral;trait available
Mammalia;Microgale_gymnorhyncha;Microgale_gymnorhyncha;up_to_date;18.2;carnivore;G;cathemeral;trait available
Mammalia;Microgale_longicaudata;Microgale_longicaudata;up_to_date;7.3;carnivore;G;cathemeral;trait available
Mammalia;Microgale_parvula;Microgale_parvula;up_to_date;3.4;carnivore;G;cathemeral;trait available
Mammalia;Microgale_pusilla;Microgale_pusilla;up_to_date;3.4;carnivore;G;cathemeral;trait available
Mammalia;Micromys_minutus;Micromys_minutus;up_to_date;6;omnivorous;G;cathemeral;trait available
Mammalia;Micronycteris_brachyotis;Lampronycteris_brachyotis;updated;11;carnivore;S;nocturnal;trait available
Mammalia;Micronycteris_hirsuta;Micronycteris_hirsuta;up_to_date;12;carnivore;S;nocturnal;trait available
Mammalia;Micronycteris_megalotis;Micronycteris_megalotis;up_to_date;6.1;herbivore;S;nocturnal;trait available
Mammalia;Micronycteris_microtis;Micronycteris_microtis;up_to_date;5.6;herbivore;S;nocturnal;trait available
Mammalia;Micronycteris_sylvestris;Glyphonycteris_sylvestris;updated;8.8;carnivore;S;nocturnal;trait available
Mammalia;Microtus_agrestis;Microtus_agrestis;up_to_date;42.5;herbivore;G;cathemeral;trait available
Mammalia;Microtus_californicus;Microtus_californicus;up_to_date;57.4;herbivore;G;cathemeral;trait available
Mammalia;Mimon_bennettii;Mimon_bennettii;up_to_date;25.2;omnivorous;S;nocturnal;trait available
Mammalia;Mimon_crenulatum;Mimon_crenulatum;up_to_date;13.8;omnivorous;S;nocturnal;trait available
Mammalia;Miniopterus_medius;Miniopterus_medius;up_to_date;9;carnivore;A;nocturnal;trait available
Mammalia;Miniopterus_schreibersii;Miniopterus_schreibersii;up_to_date;11.1;carnivore;A;nocturnal;trait available
Mammalia;Monodelphis_americana;Monodelphis_americana;up_to_date;19.5;omnivorous;G;nocturnal;trait available
Mammalia;Monodelphis_brevicaudata;Monodelphis_brevicaudata;up_to_date;69.6;omnivorous;G;nocturnal;trait available
Mammalia;Monodelphis_sp.;Monodelphis_sp.;morphospecies;94.75882353;omnivorous;G;nocturnal;trait available
Mammalia;Mormoops_megalophylla;Mormoops_megalophylla;up_to_date;15.8;carnivore;A;nocturnal;trait available
Mammalia;Muntiacus_muntjak;Muntiacus_muntjak;up_to_date;15925.8;herbivore;G;cathemeral;trait available
Mammalia;Muntiacus_reevesi;Muntiacus_reevesi;up_to_date;13500;herbivore;G;cathemeral;trait available
Mammalia;Murina_aenea;Murina_aenea;up_to_date;7.4;carnivore;A;nocturnal;trait available
Mammalia;Murina_cyclotis;Murina_cyclotis;up_to_date;9.3;carnivore;A;nocturnal;trait available
Mammalia;Murina_rozendaali;Murina_rozendaali;up_to_date;4.6;carnivore;A;nocturnal;trait available
