taxon,scientific_name,Family,Subfamily,body_size_female (mm),N_body_size_female,body_size_male (mm),N_body_size_male,forewing_length_females (mm),N_forewing_length_females,forewing_length_males (mm),N_forewing_length_males,trophic level / diet,reproductive mode,foraging strata / habitat,References,OBS
Hymenoptera,Dusona stramineipes,Ichneumonidae,Campopleginae,7.6 [73],5 [73],NA,NA,5.4 [73],5 [73],NA,NA,Parasitoid of Lepidoptera [86],holometabolous [86],"forest, fragment 1635 a 27616 m2 [86]","47. Tereshkin, A.M. (2009) Illustrated key to the tribes of subfamilia Ichneumoninae and genera of the tribe Platylabini of world fauna (Hymenoptera, Ichneumonidae). Linzer Biologische Beiträge, 41(2): 1317-1608.",
Hymenoptera,Epipompilus insularis,Pompilidae,Pompilinae,6-8.8 [74],9 [74],5-7.8 [74],5 [74],5.5-7.8 [74],9 [74],2.8-7 [74],5 [74],"Parasitoid of spiders [74, 86]","holometabolous, coinobionte [74, 86]","forest, fragment 1180 a 27616m2 [74, 86]","48. Bain, J. 1970. NEW ZEALAND SPECIES OF LISSONOTA (HYMENOPTERA : ICHNEUMONIDAE), New Zealand Entomologist, 4:4, 80-87, DOI: 10.1080/00779962.1970.9723082",
Hymenoptera,Euceros coxalis,Ichneumonidae,Eucerotinae,5.75 [75],1 [75],NA,NA,NA,NA,NA,NA,"Parasitoid of Lepidoptera; Hymenoptera [86,88]","holometabolous, coinobionte [86,88]","forest, fragment 1386m2 [86,88]","49. Pérez, E.C.; Correa, M.V.; Reguilón, C. & Berta, C. (2013) Nuevo Registro de Parasitoides Asociados a Chrysopidae (Neuroptera) en Citrus aurantium em Tucumán, Argentina. Acta Zoológica Lilloana, 57(Suplemento, V Reunión Argentina de Parasitoidólogos): 100-101.",
Hymenoptera,Fustiserphus longiceps,Proctotrupidae,Proctotrupinae,NA,NA,"4,47 [40,41]","1 [40,41]",NA,NA,"3.1-3.7 [40,41]","5 [40,41]",Parasitoid of Lepidoptera [86],holometabolous [86],"forest, fragment 1180 a 27616m2 [86]","50. Graf, V. (2000) O gênero Lusius Tosquinet, 1903 (Hymenoptera, Ichneumoninae, Heterischnini) from South America. Acta Biologica Paranaense, 29(1-4): 169-176.",The Proctotrupidae (Hymenoptera) of the World. https://proctotrupidae.myspecies.info/taxonomy/term/81
Hymenoptera,Fustiserphus sp. 01,Proctotrupidae,Proctotrupinae,3.5 [42],1 [42],4.7 [41],1 [41],2.8-4.1 [40]; 1.8 [42],8 [40],3.5 [41],1 [41],parasitoids of Tingena armigerella and Tingena nycteris larvae (Lepidoptera) [39],endoparasitoids [39],Nothofagus litter; hard beech litter; litter in fine grass [39],"51. Saunders, T.E. & Ward, D.F. (2017) A new species of Lusius (Hymenoptera: Ichneumonidae) from New Zealand. New Zealand Entomologist. http://dx.doi.org/10.1080/00779962.2017.1357427",
Hymenoptera,Fustiserphus sp. 02,Proctotrupidae,Proctotrupinae,3.5 [42],1 [42],4.7 [41],1 [41],2.8-4.1 [40]; 1.8 [42],8 [40],3.5 [41],1 [41],parasitoids of Tingena armigerella and Tingena nycteris larvae (Lepidoptera) [39],endoparasitoids [39],Nothofagus litter; hard beech litter; litter in fine grass [39],"52. Morley, C. (1914b) XXIII Hymenoptera, IV: Ichneumonidae. Records of the Indian Museum, 8: 323-328",
Hymenoptera,Fustiserphus sp. 03,Proctotrupidae,Proctotrupinae,3.5 [42],1 [42],4.7 [41],1 [41],2.8-4.1 [40]; 1.8 [42],8 [40],3.5 [41],1 [41],parasitoids of Tingena armigerella and Tingena nycteris larvae (Lepidoptera) [39],endoparasitoids [39],Nothofagus litter; hard beech litter; litter in fine grass [39],"53. Rousse, P.; van Noort, S. & Diller, E. (2013) Revision of the Afrotropical Phaeogenini (Ichneumonidae, Ichneumoninae), with description of a new genus and twelve new species. ZooKeys, 354: 1-85. http://dx.doi.org/10.3897/zookeys.354.5968",
Hymenoptera,Fustiserphus sp. 04,Proctotrupidae,Proctotrupinae,3.5 [42],1 [42],4.7 [41],1 [41],2.8-4.1 [40]; 1.8 [42],8 [40],3.5 [41],1 [41],parasitoids of Tingena armigerella and Tingena nycteris larvae (Lepidoptera) [39],endoparasitoids [39],Nothofagus litter; hard beech litter; litter in fine grass [39],"54. Humala, A.E.; Kruidhof, H.M. & Woelke, J.B. (2016) New species of Megastylus (Hymenoptera: Ichneumonidae: Orthocentrinae) reared from larvae of Keroplatidae fungus gnats (Diptera) in a Dutch orchid greenhouse. Journal of Natural History. http://dx.doi.org/10.1080/00222933.2016.1257074",
Hymenoptera,Fustiserphus sp. 05,Proctotrupidae,Proctotrupinae,3.5 [42],1 [42],4.7 [41],1 [41],2.8-4.1 [40]; 1.8 [42],8 [40],3.5 [41],1 [41],parasitoids of Tingena armigerella and Tingena nycteris larvae (Lepidoptera) [39],endoparasitoids [39],Nothofagus litter; hard beech litter; litter in fine grass [39],"55. Humala, A.E. (2014) Mexican species of the subgenus Dicolus Förster, genus Megastylus Schiodte (Hymenoptera: Ichneumonidae: Orthocentrinae), with descriptions of a new species. Proceedings of the Russian Entomological Society, 85(1): 98-102.",
Hymenoptera,Ichneumon lotatorius,Ichneumonidae,Ichneumoninae,11-14 [43],não informado [43],13-15 [44]; 12.7-13.78 [45],não informado [44]; não informado [45],NA,NA,NA,NA,NA,NA,"forest, fragment 1386 a 27616m2 [86]","56. Wahl, D.B. (1996) Two New Species of Megastylus from the New World (Hymenoptera: Ichneumonidae; Orthocentrinae). Journal of the New York Entomological Society, 104(3/4): 221-225.",
