AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Bocconia arborea;NA;NA;NA;11.26666667;NA;trait available
Bocoa viridiflora;NA;2.594444444;0.835;NA;NA;trait available
Boehmeria caudata;NA;NA;0.364;NA;NA;trait available
Bowdichia virgilioides;NA;2.113478261;0.91;26.77875;NA;trait available
Brachyglottis repanda;NA;NA;0.581666667;0.19;NA;trait available
Brachypodium distachyon;one-seeded generative dispersule;10.14271364;NA;3.692241987;332.5800204;trait available
Brachystegia spiciformis;NA;2.252727273;0.67153425;385.0333333;203.63;trait available
Brexia madagascariensis;NA;NA;NA;18.74;NA;trait available
Bridelia micrantha;Animal;0.022433663;0.512016963;68.33333333;NA;trait available
Bromus lanceolatus;one-seeded generative dispersule;8.730435012;NA;3.217;267.5599675;trait available
Bromus madritensis;anemochory;10.3525;NA;3.492823529;190.192043;trait available
Bromus scoparius;NA;NA;NA;1.05;NA;trait available
Brosimum;NA;8.920204405;0.599275189;NA;NA;trait available
Brosimum guianense;Disp;3.396920633;0.824416068;NA;228.7411934;trait available
Brosimum lactescens;Disp;3.218844279;238.003389;956.8275714;350;trait available
Brosimum parinarioides;NA;5.0711599;0.603420933;NA;NA;trait available
Brosimum rubescens;Disp;3.50719893;0.810985405;0.615281145;NA;trait available
Buchenavia;NA;1.254302312;0.73;NA;NA;trait available
Buchenavia grandis;animal;2.666762933;0.758666667;2183.086379;NA;trait available
Buchenavia guianensis;NA;0.740066138;NA;NA;NA;trait available
Buchenavia parvifolia;NA;2.648001003;0.832900317;NA;NA;trait available
Buchenavia tetraphylla;NA;1.307849016;0.617911111;0.932;NA;trait available
Buchenavia tomentosa;NA;17.07750953;NA;NA;NA;trait available
Buddleja cordata;NA;NA;NA;0.33;NA;trait available
Buddleja davidii;agochor;6.691620571;0.149212545;0.228181112;127.3178464;trait available
Buddleja nitida;NA;1.04;0.52;NA;NA;trait available
Bunchosia lindeniana;Disp;NA;NA;320;NA;trait available
Burkea africana;NA;2.071818182;0.61246;94.14285714;229.83125;trait available
Bursera simaruba;Animal;1.906326315;0.340641609;115.325;173.1078424;trait available
Byrsonima;NA;12.674519;0.648702718;NA;NA;trait available
Byrsonima crassifolia;NA;7.198920293;0.600532722;2.48;242.7836181;trait available
Byrsonima crispa;NA;16.47236938;0.579310366;NA;NA;trait available
Byrsonima laxiflora;NA;1.16;NA;NA;NA;trait available
Byrsonima ligustrifolia;NA;1.603333333;0.466960794;0.14892;396.083;trait available
Byrsonima sericea;NA;1.36;0.78;425;243.74741;trait available
Byrsonima stipulacea;NA;NA;0.72256;NA;NA;trait available
Byrsonima verbascifolia;NA;1.419375;0.75;NA;225.5;trait available
Cabralea canjerana;Disp;14.66227781;2.635048828;1170.874403;351.4;trait available
Caldcluvia paniculata;Disp;NA;0.525;6.00E-05;NA;trait available
Calendula arvensis;Disp;NA;NA;4.742727273;97.898;trait available
Calliandra houstoniana;Disp;NA;NA;NA;NA;trait available
Callisthene major;NA;NA;0.75;NA;NA;trait available
Calophyllum brasiliense;Animal;2.966283748;0.567974279;3334.14;267.6666667;trait available
Calycolpus goetheanus;NA;NA;0.8;NA;NA;trait available
Calyptranthes;Disp;NA;NA;NA;NA;trait available
Calyptranthes clusiifolia;NA;NA;0.72;NA;NA;trait available
Calyptranthes concinna;Animal;NA;0.67613545;NA;NA;trait available
Calyptranthes lanceolata;Disp;NA;NA;356.5095134;NA;trait available
Calyptranthes lucida;NA;NA;42.38869706;NA;NA;trait available
Calystegia soldanella;Baro;12.87;NA;57.23633333;106.1719762;trait available
Campanula erinus;Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.);NA;NA;NA;NA;trait available
Campomanesia guaviroba;NA;2.22;19.52287691;0.11115;429.259;trait available
Campomanesia xanthocarpa;Animal;NA;0.672913678;NA;NA;trait available
Canthium;NA;1.9;0.838851717;NA;NA;trait available
Caraipa densifolia;NA;8.086499143;0.619698818;NA;NA;trait available
Carapa guianensis;Disp;3.835270293;0.520554539;16003.62735;95.78705562;trait available
Carduus argentatus;NA;NA;NA;7.68;NA;trait available
Cariniana estrellensis;NA;1.9;259.4823577;NA;NA;trait available
Cariniana legalis;NA;NA;0.501111111;NA;NA;trait available
Cariniana micrantha;NA;NA;236.305561;170;NA;trait available
Carissa spinarum;NA;3.083773391;0.901173222;110.12;332.2109612;trait available
Carpinus caroliniana;wind;1.814;0.626666667;9450.989116;0.280449582;trait available
Carpodetus serratus;NA;NA;0.6;0.488;197.8744397;trait available
Carrichtera annua;Disp;NA;NA;0.49534275;NA;trait available
Carya cordiformis;animal;2.271428571;0.594;2372.025513;171.8378496;trait available
Carya ovata;animal;3.259376962;455.555288;3652.475184;180.9358871;trait available
Caryocar edule;NA;NA;0.62;NA;NA;trait available
Caryocar glabrum;Disp;2.022684594;0.667610157;6900;NA;trait available
Caryocar villosum;Disp;2.13;0.771153846;6200;NA;trait available
Casearia;Disp;7.075557781;0.625478373;181.6885604;NA;trait available
Casearia arborea;Animal;6.204197572;0.582797708;1.445744764;249.3625087;trait available
Casearia commersoniana;NA;2.217855286;0.618083952;0.023181667;320.2637706;trait available
Casearia decandra;Disp;2.581955853;0.645667493;130.2644117;NA;trait available
Casearia gossypiosperma;NA;7.15;736.9878982;NA;NA;trait available
Casearia javitensis;Disp;4.573865933;0.74934;40.25751886;NA;trait available
Casearia manausensis;NA;1.68;NA;NA;NA;trait available
Casearia obliqua;NA;NA;0.674165369;NA;445.217;trait available
Casearia sylvestris;Disp;3.312962698;0.725538871;2.238024005;303.8250078;trait available
Cassia ferruginea;NA;NA;0.866;262.75;NA;trait available
