AccSpeciesName;Dispersal syndrome;Leaf nitrogen (N) content per leaf dry mass;Stem specific density (SSD) or wood density (stem dry mass per stem fresh volume);Seed dry mass;Leaf dry mass per leaf fresh mass (leaf dry matter content, LDMC);taxon_no_data
Mimusops balata;NA;NA;NA;1070.32;NA;trait available
Minquartia guianensis;Disp;5.210961968;0.765184598;NA;312;trait available
Moldenhawera floribunda;NA;NA;0.81;NA;NA;trait available
Mollinedia;Diaspore is eaten intentionally;NA;NA;143.0208207;NA;trait available
Mollinedia boracensis;NA;NA;1.415166667;NA;NA;trait available
Mollinedia engleriana;NA;NA;24.25907485;NA;NA;trait available
Mollinedia glabra;NA;NA;22.72670771;NA;NA;trait available
Mollinedia schottiana;NA;2.525;13.38399744;NA;NA;trait available
Moluccella laevis;NA;NA;NA;6.3;NA;trait available
Monnina xalapensis;NA;NA;NA;13.84444444;NA;trait available
Monodora myristica;Animal;35.4;0.301593093;NA;0.315196078;trait available
Moronobea coccinea;Disp;0.841378547;0.832186667;NA;NA;trait available
Morus celtidifolia;animal;NA;NA;NA;NA;trait available
Muehlenbeckia australis;NA;NA;NA;4.15;NA;trait available
Myoporum laetum;NA;NA;NA;73.41714286;NA;trait available
Myrceugenia;NA;NA;0.57;NA;NA;trait available
Myrceugenia exsucca;Ornithochory;NA;NA;NA;NA;trait available
Myrceugenia miersiana;Animal;NA;NA;NA;NA;trait available
Myrceugenia ovalifolia;NA;NA;NA;NA;417.395;trait available
Myrceugenia parvifolia;Ornithochory;NA;NA;0.016;NA;trait available
Myrceugenia planipes;Ornithochory;2.528333333;NA;NA;NA;trait available
Myrcia;animal;1.604367689;NA;133.740358;270.5;trait available
Myrcia amazonica;NA;1.930066667;0.863427472;0.062;NA;trait available
Myrcia amplexicaulis;NA;NA;87.42001927;NA;NA;trait available
Myrcia brasiliensis;NA;1.48125;0.564553669;0.044011111;321.004;trait available
Myrcia guianensis;NA;NA;0.715850998;NA;NA;trait available
Myrcia hebepetala;NA;NA;0.78;NA;NA;trait available
Myrcia paivae;NA;NA;0.773975;NA;NA;trait available
Myrcia racemosa;NA;1.5425;0.711427056;NA;NA;trait available
Myrcia splendens;Disp;2.354083483;0.687918519;125.1267854;577.214;trait available
Myrcia tomentosa;NA;7.937666;0.787133264;NA;NA;trait available
Myrciaria;NA;NA;0.53;NA;NA;trait available
Myrciaria floribunda;Disp;3.930811559;0.761428571;408.1546173;NA;trait available
Myrocarpus frondosus;Disp;2.14;0.768085016;NA;NA;trait available
Myrsine;NA;6.121584763;NA;NA;NA;trait available
Myrsine coriacea;NA;4.891111101;0.60331681;3.645215898;351.997;trait available
Myrsine gardneriana;NA;1.590322581;NA;0.012341462;311.671;trait available
Myrsine guianensis;Disp;1.380710382;0.52;NA;NA;trait available
Myrsine umbellata;Disp;1.5525;0.625903225;0.0300425;350.119;trait available
Myrtaceae;NA;1.910110771;0.67717773;NA;NA;trait available
Nectandra;Diaspore is eaten intentionally;8.866047203;0.472214245;10450.65157;268.1476863;trait available
Nectandra grandiflora;NA;NA;0.61;NA;NA;trait available
Nectandra membranacea;NA;2.56349768;NA;0.76923077;414.444;trait available
Nectandra nitidula;NA;NA;0.74;NA;NA;trait available
Nectandra oppositifolia;NA;1.92073564;0.507786628;NA;449.77;trait available
Nectandra puberula;NA;NA;0.775;NA;NA;trait available
Neea;NA;3.306241965;NA;NA;NA;trait available
Neea floribunda;Diaspore is eaten intentionally;3.3979701;0.673195192;100.4832119;NA;trait available
Neea macrophylla;NA;40.915;NA;NA;NA;trait available
Neea oppositifolia;NA;6.676678;0.787796331;NA;NA;trait available
Neoboutonia macrocalyx;NA;NA;0.329599835;NA;NA;trait available
Nephrolepis;NA;1.0975;NA;NA;NA;trait available
Nestegis cunninghamii;NA;NA;NA;550;NA;trait available
Newtonia buchananii;NA;NA;0.501698262;133.075;NA;trait available
Nigella ciliaris;NA;NA;NA;2.7;NA;trait available
Nothofagus dombeyi;Anemochory;3.7025;0.5648;15.48550545;NA;trait available
Nothofagus nitida;Disp;1.008888889;0.6;1.144588889;NA;trait available
Nothofagus obliqua;NA;2.16;0.5896;6.257372581;254.9599583;trait available
Nothofagus solandri;NA;1.166666667;0.52;3.304763285;NA;trait available
Notobasis syriaca;NA;NA;NA;32.26666667;NA;trait available
Nyssa sylvatica;Animal;2.979166667;0.49730881;263.3207334;180.5;trait available
Ocotea;Ornithochory;6.760474242;250.0265139;0.889873492;NA;trait available
Ocotea aciphylla;NA;3.435341247;0.489861818;3.3944;400.489;trait available
Ocotea argyrophylla;NA;1.387922492;NA;NA;NA;trait available
Ocotea canaliculata;NA;2.435;0.45957;NA;NA;trait available
Ocotea catharinensis;NA;3.365;0.75;0.833333332;434.023;trait available
Ocotea corymbosa;NA;NA;NA;0.069033332;474.669;trait available
Ocotea dispersa;NA;2.975;0.743160749;NA;NA;trait available
Ocotea fasciculata;NA;2.18;NA;NA;NA;trait available
Ocotea floribunda;Animal;2.493252233;0.397093571;1634.905415;NA;trait available
Ocotea glaziovii;NA;NA;NA;0.32554;469.734;trait available
Ocotea glomerata;NA;NA;0.508068;NA;NA;trait available
Ocotea indecora;NA;NA;0.62;0.555555558;404.32;trait available
Ocotea lancifolia;NA;15.624;0.6888;0.025475;480.3601039;trait available
Ocotea leucoxylon;NA;2.430467541;0.456174979;355.4538961;NA;trait available
Ocotea longifolia;NA;2.055341606;NA;NA;NA;trait available
Ocotea minarum;NA;NA;0.76;NA;NA;trait available
Ocotea odorifera;NA;NA;0.765;0.3003;422.844;trait available
Ocotea percurrens;NA;1.325178476;0.519;NA;NA;trait available
Ocotea puberula;NA;2.805265742;0.424318471;78.59876932;277.7707424;trait available
Ocotea pulchella;NA;1.93;0.504160057;0.05185625;413.613;trait available
Ocotea silvestris;NA;NA;NA;0.235;371.901;trait available
Olea welwitschii;NA;NA;0.65;NA;NA;trait available
Olearia rani;NA;0.98;NA;0.12;158.2407884;trait available
Ononis alopecuroides;Autochory;NA;NA;6.3;NA;trait available
Ononis mitissima;NA;NA;NA;2.71;NA;trait available
Ononis ornithopodioides;zoochory;NA;NA;NA;NA;trait available
Oreopanax capitatus;NA;1.26;NA;NA;NA;trait available
Oreopanax xalapensis;Disp;1.614;0.505;NA;NA;trait available
Ormosia;Disp;2.79;0.59;4402.785133;NA;trait available
Ormosia arborea;NA;NA;0.7;NA;NA;trait available
Ornithogalum narbonense;Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.);NA;NA;4.5;NA;trait available
Osteophloeum platyspermum;Autochory;7.95879613;0.472284421;1.861390948;NA;trait available
Ostrya virginiana;Disp;15.53899725;0.63;5660.091382;277.1324367;trait available
Ouratea castaneifolia;NA;1.36;0.657;NA;NA;trait available
Ouratea parviflora;NA;NA;0.77425;NA;NA;trait available
Pachira insignis;NA;6.08088892;0.416294558;10417;NA;trait available
Palicourea;NA;1.96;NA;NA;NA;trait available
Pancovia turbinata;NA;2.406666667;NA;NA;NA;trait available
Parapholis incurva;anemochory;NA;NA;2.341666667;NA;trait available
Paraserianthes lophantha;NA;3.313857143;NA;55.04789474;NA;trait available
Parinari;Disp;1.2331;0.712773601;NA;NA;trait available
Parinari curatellifolia;NA;11.38452876;0.61992;3249.571429;NA;trait available
Parinari excelsa;Disp;1.69663529;0.700954744;6576.134111;NA;trait available
Parinari montana;Disp;0.893577376;0.71;NA;NA;trait available
Parkia multijuga;NA;5.387849314;0.402875586;7400;NA;trait available
Parkia nitida;Disp;2.922185438;0.402256637;NA;NA;trait available
Parkia pendula;Disp;2.01;0.516028381;77.42437396;NA;trait available
Paronychia argentea;NA;NA;NA;0.87;NA;trait available
Parsonsia heterophylla;NA;NA;NA;4.446666667;NA;trait available
Pausandra morisiana;NA;1.83375;0.502381603;NA;NA;trait available
Paypayrola grandiflora;NA;NA;0.63;NA;NA;trait available
Peltogyne;NA;1.019931498;0.77;NA;NA;trait available
Peltogyne catingae;NA;1.675;0.813333333;NA;NA;trait available
Peltogyne confertiflora;NA;NA;0.77;NA;NA;trait available
Peltogyne paniculata;Disp;2.150842;0.799155;NA;NA;trait available
Peltophorum dubium;NA;NA;0.74388;197.35;NA;trait available
Pennantia corymbosa;NA;NA;NA;16.9625;180.3430531;trait available
Pera glabrata;NA;1.91;0.650231246;0.016936841;347.587;trait available
Persea americana;Animal;15.07714286;0.527274014;15307.75;0.293906981;trait available
Persea lingue;NA;3.3225;0.494666667;203.5875;NA;trait available
Phagnalon rupestre;Disp;NA;NA;0.094;NA;trait available
Phalaris brachystachys;NA;NA;NA;2.19;NA;trait available
Phlomis brachyodon;NA;NA;NA;13.72;NA;trait available
Phyllanthus;NA;5.694793235;0.550165017;NA;181.5242165;trait available
Phyllarthron bojeranum;NA;NA;0.28;NA;NA;trait available
Phyllonoma laticuspis;NA;NA;NA;0.7;NA;trait available
Phytolacca dioica;NA;NA;0.258;6.72;NA;trait available
Picea glauca;animal;5.453316494;32.20332948;26402.04109;0.443254345;trait available
Pimenta pseudocaryophyllus;NA;NA;1;NA;NA;trait available
Pimpinella corymbosa;NA;NA;NA;1.35;NA;trait available
Pimpinella cretica;NA;15.86884059;NA;0.302;156.8400749;trait available
Pinus;NA;16;NA;NA;NA;trait available
Pinus ayacahuite;NA;NA;NA;68.41;NA;trait available
Pinus banksiana;wind;9.262886541;0.42;35232.33767;NA;trait available
Pinus devoniana;NA;NA;0.45;34.745;NA;trait available
Pinus maximinoi;NA;NA;NA;15.34;NA;trait available
Pinus montezumae;NA;NA;NA;26.14;NA;trait available
Pinus oocarpa;NA;NA;0.574;15.59444444;NA;trait available
Pinus pseudostrobus;Diaspore is blown by wind;NA;NA;27.26666667;NA;trait available
Pinus radiata;wind;5.17520135;0.46;609.0163817;NA;trait available
Pinus resinosa;wind;3.06205042;0.43;12168.63983;NA;trait available
Pinus strobus;wind;7.781616855;70.282;6352.361484;0.29758925;trait available
Pinus tecunumanii;NA;NA;NA;13.48142857;NA;trait available
Piper aduncum;NA;3.35;0.4;1.00E-04;NA;trait available
Piper amalago;Animal;2.224268555;NA;1.473333333;NA;trait available
Piper arboreum;Animal;3.722353948;0.379450263;1.01;163.4650421;trait available
Piptadenia;NA;16.2628516;0.460588885;NA;NA;trait available
Piptadenia gonoacantha;NA;3.571333333;0.7;42.28;NA;trait available
Piptadenia paniculata;NA;3.7975;0.553;0.000192591;465.847;trait available
Piptocarpha axillaris;NA;NA;NA;0.000767591;377.549;trait available
Piptocarpha macropoda;NA;NA;42.09311222;NA;NA;trait available
Pittosporum eugenioides;Disp;NA;NA;6.979230769;190.8073299;trait available
Pittosporum tenuifolium;Disp;NA;NA;12.03642857;205.6643079;trait available
Pityrocarpa moniliformis;NA;NA;0.717090854;NA;NA;trait available
Plantago afra;anemochory;NA;NA;0.88375;NA;trait available
Plantago albicans;NA;12.47568581;NA;0.515936135;204.9273657;trait available
Plantago cretica;Disp;NA;NA;NA;NA;trait available
Plantago weldenii;Barochory;NA;NA;0.12;NA;trait available
Plathymenia reticulata;NA;NA;83.28285714;NA;NA;trait available
Platycyamus regnellii;NA;NA;0.81;NA;NA;trait available
Platymiscium trinitatis;NA;2.71;0.861666667;NA;NA;trait available
Platypodium elegans;wind;4.505796465;0.759986922;888.2228865;228.2232217;trait available
Plinia cauliflora;NA;1.6;1052.246833;NA;NA;trait available
Plinia rivularis;NA;NA;0.95;NA;NA;trait available
Poa bulbosa;one-seeded generative dispersule;8.673612094;NA;10240.68508;234.8983781;trait available
Podocarpus nubigenus;Animal;1.514545455;0.468666667;251.152575;NA;trait available
Pogonophora schomburgkiana;NA;1.17843688;0.832585;NA;NA;trait available
Polycarpon tetraphyllum;Anemochory: Stems move with the wind, helping for seed dispersion (ex,  Papaver sp.);NA;NA;0.037120909;159.0306168;trait available
Polygonum equisetiforme;NA;NA;NA;1.25;316.9462096;trait available
Polyscias fulva;NA;NA;0.237096;NA;NA;trait available
Polyscias ornifolia;NA;NA;0.553078957;7.15;NA;trait available
Populus balsamifera;NA;2.018590231;121.8983333;0.684545455;0.393;trait available
Populus deltoides;Disp;3.903809524;0.419937844;84910.19117;NA;trait available
Populus grandidentata;NA;2.152068966;0.376666667;573333.4433;NA;trait available
Populus tremuloides;wind/long-distance;7.538955784;11.31923568;144540.0943;132.8468499;trait available
Posoqueria latifolia;Disp;5.289931424;0.573049275;0.292890696;234.5128484;trait available
Pourouma bicolor;NA;4.355753042;0.37563261;0.319564;174.3760173;trait available
Pourouma guianensis;Disp;13.57621714;0.393816245;NA;NA;trait available
Pourouma minor;Disp;7.062638871;0.49628209;NA;232.4;trait available
Pourouma mollis;Disp;11.81408525;0.466563043;NA;NA;trait available
Pourouma tomentosa;NA;3.936580711;0.426258997;NA;NA;trait available
Pourouma villosa;NA;1.104110517;0.34;NA;NA;trait available
Pouteria;Diaspore is eaten intentionally;8.789295873;330.2864285;1991.707791;185;trait available
Pouteria anomala;NA;2.4875;0.702829504;NA;NA;trait available
Pouteria bangii;NA;4.718231155;0.631887249;NA;NA;trait available
Pouteria bullata;NA;NA;NA;763.64;NA;trait available
Pouteria caimito;NA;9.002863075;2.801525575;2300;NA;trait available
Pouteria filipes;NA;9.874220644;0.909546667;NA;369;trait available
Pouteria gardneri;NA;NA;0.93;NA;NA;trait available
Pouteria grandiflora;NA;NA;0.82;NA;NA;trait available
Pouteria guianensis;Diaspore is eaten intentionally;4.016211904;0.896664038;3281.254247;NA;trait available
Pouteria macrophylla;Disp;2.200758752;195.2166502;9150;NA;trait available
Pouteria minima;NA;NA;0.755779117;NA;NA;trait available
Pouteria oppositifolia;NA;NA;0.65;NA;NA;trait available
Pouteria platyphylla;NA;6.776987679;NA;NA;NA;trait available
Pouteria reticulata;NA;3.441232587;0.690654755;0.581827083;297.4519496;trait available
Pouteria torta;Disp;3.97892918;57.79874783;NA;465.4546;trait available
Pouteria venosa;NA;3.205555736;0.868172615;NA;NA;trait available
Pouteria virescens;NA;1.73;NA;NA;NA;trait available
Pradosia;NA;0.658377489;0.68;NA;NA;trait available
Prangos ferulacea;Disp;NA;NA;35.4;NA;trait available
Premna angolensis;NA;NA;0.663601689;NA;NA;trait available
Prockia crucis;NA;NA;0.616120105;NA;NA;trait available
Protium;NA;4.324312468;0.540421652;100;NA;trait available
Protium altsonii;NA;3.422512419;0.608082908;NA;NA;trait available
Protium apiculatum;NA;2.482724632;0.515306418;NA;NA;trait available
Protium aracouchini;NA;4.612943356;0.587263377;NA;NA;trait available
Protium decandrum;Disp;0.876543253;0.533985833;5662.020831;NA;trait available
Protium giganteum;Disp;4.933898433;0.557713565;NA;NA;trait available
Protium hebetatum;NA;2.374805538;0.710479574;NA;NA;trait available
Protium heptaphyllum;Disp;5.49525175;0.624290245;116.61;NA;trait available
Protium opacum;Disp;2.488890683;0.564001792;NA;NA;trait available
Protium spruceanum;NA;2.481589596;0.56;NA;NA;trait available
Protium tenuifolium;Disp;3.539520279;0.579555893;99.04073642;284.7047378;trait available
Protium trifoliolatum;NA;3.847432177;0.664272876;NA;NA;trait available
Prunus myrtifolia;animal;2.315;0.740925;NA;NA;trait available
Prunus pensylvanica;Disp;2.392857143;0.36;4312.156702;NA;trait available
Prunus serotina;Animal;4.137650491;90.45912511;1165.13899;169.8905889;trait available
Prunus virginiana;one-seeded generative dispersule;7.339040329;0.36;282.14853;NA;trait available
Pseudobombax grandiflorum;NA;NA;0.39;54.21;NA;trait available
Pseudolmedia laevigata;NA;10.75546235;0.621593314;NA;NA;trait available
Pseudolmedia laevis;Disp;5.109061588;194.9277751;417.7154055;NA;trait available
Pseudopanax crassifolius;NA;NA;NA;10.115;199.7792316;trait available
Pseudopiptadenia leptostachya;NA;NA;0.531;NA;NA;trait available
Pseudopiptadenia psilostachya;NA;3.612643189;0.613796509;NA;NA;trait available
Pseudospondias microcarpa;Disp;NA;NA;NA;NA;trait available
Psidium;Disp;NA;NA;5046.74845;NA;trait available
Psidium cattleianum;NA;1.735;1.12;NA;NA;trait available
Psidium guajava;NA;2.883790206;0.654233493;3628.51525;433.048433;trait available
Psidium guineense;NA;NA;NA;8.73;NA;trait available
Psidium oligospermum;NA;NA;NA;NA;284;trait available
Psidium sartorianum;NA;NA;789.7961364;NA;NA;trait available
Psychotria;Disp;3.336666667;0.6781;34.85336503;NA;trait available
Psychotria carthagenensis;Disp;1.692658007;NA;0.011256;NA;trait available
Psychotria mapourioides;NA;1.739339988;NA;NA;NA;trait available
Psychotria marginata;animal;1.480127311;247.6475476;9.815068143;218.1052179;trait available
Psychotria suterella;NA;NA;NA;16;NA;trait available
Psychotria vellosiana;NA;NA;NA;0.013983332;282.169;trait available
Pteridium esculentum;wind;NA;NA;NA;NA;trait available
Pterocarpus;NA;10.19701663;0.622871489;NA;NA;trait available
Pterocarpus angolensis;NA;5.18;0.55917575;220.01875;NA;trait available
Pterocarpus officinalis;Disp;2.529;0.406998369;3610.464864;NA;trait available
Pterocarpus rohrii;wind;5.118594797;0.484644338;139.1316932;199.5619271;trait available
Pterocephalus brevis;NA;NA;NA;1.89;NA;trait available
Qualea paraensis;NA;6.974212823;0.660732958;NA;NA;trait available
Quararibea turbinata;NA;2.895555556;0.593982719;4.232;NA;trait available
Quercus;NA;3.696090476;0.695;NA;NA;trait available
Quercus candicans;Disp;NA;NA;NA;NA;trait available
Quercus laurina;Disp;NA;0.7;NA;NA;trait available
Quercus macrocarpa;Disp;3.99135082;0.61;5369.502227;0.349146487;trait available
Quercus rubra;NA;6.864777185;335.1333142;2840.472088;175.1965114;trait available
Quercus rugosa;Disp;NA;NA;NA;NA;trait available
Quiina amazonica;NA;1.377750278;0.92;NA;NA;trait available
Randia;Disp;NA;NA;101.5434689;NA;trait available
Randia aculeata;NA;NA;0.716352;NA;NA;trait available
Randia armata;Animal;3.057288486;0.686945666;103.8977298;233.0906244;trait available
Ranunculus asiaticus;NA;NA;NA;0.41;NA;trait available
Rapistrum rugosum;one-seeded generative dispersule;22.19993587;NA;1.785846154;149.4776296;trait available
Ravenala madagascariensis;NA;NA;NA;153.85;NA;trait available
Rhagadiolus stellatus;Disp;NA;NA;1.85;NA;trait available
Rhamnidium elaeocarpum;NA;7.302668682;0.511089174;NA;NA;trait available
Rhamnus;NA;11.64138594;NA;NA;267.2449161;trait available
Rhamnus cathartica;Disp;7.62587157;177.9425895;27.70079933;184.4635484;trait available
Rhamnus lycioides;Developed.spatial.dispersal.by.biotic.vectors;11.90377778;0.09177;22.09625;132.249465;trait available
Rhaphithamnus spinosus;Ornithochory;1.65;NA;22.67825;NA;trait available
Rhodostemonodaphne grandis;Disp;1.41933865;0.392466667;NA;NA;trait available
Rhopalostylis sapida;Animal;1.65;NA;308.3198958;198.1476713;trait available
Ridolfia segetum;NA;NA;NA;0.5;NA;trait available
Rinorea guianensis;NA;5.97513687;0.605863306;NA;NA;trait available
Rinorea macrocarpa;NA;3.785;NA;NA;NA;trait available
Rinorea racemosa;NA;NA;0.682;NA;NA;trait available
Rollinia;Animal;NA;NA;NA;NA;trait available
Rothmannia urcelliformis;NA;NA;0.538125;79.49;NA;trait available
Roupala;Diaspore is blown by wind;NA;NA;NA;NA;trait available
Roupala montana;Wind;1.200382574;0.780226446;47;299.6245393;trait available
Rubiaceae;Ornithochory - Mamalochory;1.916597673;NA;0.452405684;NA;trait available
Rudgea jasminoides;NA;NA;3.1655;NA;NA;trait available
Rumex sagittatus;Disp;NA;NA;1.69;NA;trait available
Ruprechtia laxiflora;NA;NA;0.586;NA;NA;trait available
Rustia formosa;NA;2.11375;0.405687172;NA;NA;trait available
Ryania speciosa;NA;2.504826091;0.496538897;NA;NA;trait available
Sacoglottis guianensis;NA;0.648033911;0.835775242;NA;NA;trait available
Sacoglottis mattogrossensis;NA;8.38;0.77;NA;NA;trait available
Salacia elliptica;NA;NA;0.76;NA;NA;trait available
Salix;Disp;2.628872956;0.416997825;NA;NA;trait available
Salvia viridis;germinule;NA;NA;2.459444444;NA;trait available
Sambucus canadensis;Disp;2.189423236;137.8375;2.925087656;NA;trait available
Sapium glandulosum;Diaspore is eaten intentionally;3.72482398;44.77591476;34.37754349;258.8898125;trait available
Sarcaulus brasiliensis;Disp;8.07615808;0.615;NA;NA;trait available
Savia dictyocarpa;NA;NA;0.9;NA;NA;trait available
Saxegothaea conspicua;Animal;2.516666667;0.5008;5.005;NA;trait available
Scandix iberica;NA;NA;NA;13.6;142.4849318;trait available
Schefflera;NA;3.500016309;NA;NA;NA;trait available
Schefflera calva;NA;2.266666667;19.32740061;NA;NA;trait available
Schefflera digitata;NA;21.566;NA;2.804375;138.025531;trait available
Schefflera morototoni;Disp;4.050871626;0.438515317;67.37561563;NA;trait available
Schinus terebinthifolia;Disp;NA;NA;18.10875;NA;trait available
Schistostemon retusum;NA;NA;1;NA;NA;trait available
Schizolobium parahyba;NA;2.797843001;130.4097146;1107.049838;230.3719041;trait available
Schoepfia brasiliensis;NA;NA;NA;NA;226.04;trait available
Sclerolobium;NA;3.240713867;218.3988492;NA;NA;trait available
Scleronema micranthum;NA;3.540857792;0.623615055;NA;NA;trait available
Scolopia;NA;NA;0.794418773;NA;NA;trait available
Scolopia erythrocarpa;NA;NA;NA;13.07;NA;trait available
Scolymus maculatus;NA;14.27844294;NA;2.3464;75.15049014;trait available
Scorpiurus muricatus;Dys-zoochory;NA;NA;10.96285714;NA;trait available
Scrophularia xanthoglossa;NA;NA;NA;0.275;NA;trait available
Sebastiania brasiliensis;Animal;NA;0.633435556;NA;NA;trait available
Seguieria langsdorffii;NA;NA;0.59;NA;NA;trait available
Senegalia polyphylla;NA;NA;0.626031111;NA;NA;trait available
Senna macranthera;NA;NA;55.71824179;30.88;NA;trait available
Senna multijuga;NA;1.86;0.579176;8;NA;trait available
Sextonia rubra;Disp;0.992546365;0.541556201;1190;NA;trait available
Sherardia arvensis;domestic animal;NA;NA;1.662263333;188.5;trait available
Silybum marianum;wind;NA;NA;21.89096;NA;trait available
Simaba polyphylla;NA;2.139853888;NA;NA;NA;trait available
Simarouba amara;Disp;3.304996505;0.379037576;480.5732479;201.0991464;trait available
Sinapis alba;Disp;48.13403087;NA;4.978364706;147.6566666;trait available
Sinapis arvensis;endozoochor;NA;NA;2.3006775;109.6666667;trait available
Siparuna;Animal;12.65118575;0.531383109;NA;NA;trait available
Siparuna decipiens;NA;4.432036246;0.630048883;NA;NA;trait available
Siparuna guianensis;NA;2.893679694;NA;15.0033125;195.2535312;trait available
Siphoneugena reitzii;Animal;NA;NA;NA;NA;trait available
Sloanea;Disp;3.558999848;0.65644285;3895.32167;NA;trait available
Sloanea garckeana;NA;1.081450863;NA;NA;NA;trait available
Sloanea guianensis;Disp;1.303423653;0.828049369;121.572792;467.754;trait available
Sloanea laurifolia;Disp;NA;0.8155;844.293896;NA;trait available
Sloanea monosperma;Disp;NA;15.77975585;96.67673069;NA;trait available
Sloanea obtusifolia;Disp;5.731852231;NA;393.8116684;NA;trait available
Sloanea synandra;NA;1.6171521;0.653;NA;NA;trait available
Solanum;Disp;3.43;390.4018408;NA;NA;trait available
Solanum aviculare;NA;NA;NA;0.711333333;NA;trait available
Solanum cinnamomeum;NA;NA;35.62653032;NA;NA;trait available
Solanum nigricans;Disp;NA;NA;NA;NA;trait available
Solanum nudum;Disp;NA;NA;1.725;NA;trait available
Solanum pseudocapsicum;NA;NA;NA;2.92;NA;trait available
Solanum pseudoquina;Animal;NA;0.53;NA;NA;trait available
Sonchus oleraceus;Disp;12.49647038;NA;0.30284;121.2865018;trait available
Sophora tomentosa;Disp;NA;NA;71.43;NA;trait available
Sorocea bonplandii;NA;2.1275;0.618559632;NA;NA;trait available
Sorocea guilleminiana;NA;2.98;NA;NA;NA;trait available
Sorocea hilarii;NA;NA;1.3675;NA;NA;trait available
Sorocea muriculata;NA;2.382967467;NA;NA;NA;trait available
Spathodea campanulata;Disp;11.54152778;0.370531624;4.377636364;0.34563243;trait available
Spondias;Disp;NA;NA;1086;NA;trait available
Spondias mombin;Animal;7.708924215;29.07385922;1583.497808;186.4397079;trait available
Stachys sylvatica;nautochor;3.0753185;NA;1.415769231;69.68282399;trait available
Sterculia apetala;Disp;2.335633313;0.395276717;1647.428882;292.8605391;trait available
Sterculia excelsa;NA;1.6692;0.51;NA;NA;trait available
Sterculia foetida;NA;NA;0.4542912;705;NA;trait available
Sterigmapetalum obovatum;NA;NA;0.77;NA;NA;trait available
Strombosia scheffleri;NA;2.86;0.5840625;NA;NA;trait available
Strychnos;NA;0.866773668;NA;NA;NA;trait available
Strychnos cocculoides;NA;NA;0.64575;488.2222222;NA;trait available
Strychnos diplotricha;NA;NA;NA;954.82;NA;trait available
Stryphnodendron adstringens;NA;1.861851964;270.595;96.09;NA;trait available
Stryphnodendron pulcherrimum;NA;2.91;0.475;NA;NA;trait available
Styrax argenteus;Disp;1.22;NA;NA;NA;trait available
Styrax camporum;NA;1.64;NA;NA;NA;trait available
Styrax pohlii;NA;NA;0.54;NA;NA;trait available
Swartzia;Disp;11.62161277;4.147863049;3.044461475;462.6817333;trait available
Swartzia arborescens;NA;9.3464073;0.830416;NA;NA;trait available
Swartzia cuspidata;NA;2.546666667;0.678;NA;NA;trait available
Swartzia macrostachya;NA;NA;0.92;NA;NA;trait available
Swartzia oblanceolata;NA;1.346115198;0.86;NA;NA;trait available
Swartzia oblata;NA;NA;0.92;NA;NA;trait available
Swartzia panacoco;Disp;4.016705869;0.913333333;NA;NA;trait available
Swartzia polyphylla;Disp;5.224210675;0.692215793;30236;NA;trait available
Swartzia reticulata;NA;2.094545455;NA;NA;NA;trait available
Swartzia simplex;NA;3.598414945;0.764209472;1089.098;253.2727152;trait available
Swartzia ulei;NA;3.715495071;0.907751938;NA;NA;trait available
Sweetia fruticosa;NA;7.475;515.6146357;NA;NA;trait available
Syagrus pseudococos;NA;2.175;2.664;NA;NA;trait available
Syagrus romanzoffiana;Animal;NA;NA;2891.928571;509.297;trait available
Symphonia;NA;0.894065696;0.746760552;NA;NA;trait available
Symphonia fasciculata;NA;NA;0.672543613;NA;NA;trait available
Symphonia globulifera;Disp;5.693703921;0.590295826;2886.896681;245.0161589;trait available
Symphonia louvelii;NA;NA;0.665452489;NA;NA;trait available
Symplocos limoncillo;Disp;NA;NA;NA;NA;trait available
Syzygium;NA;1.620690768;0.679089995;1903.529412;NA;trait available
Syzygium cordatum;NA;NA;0.619887046;2222;NA;trait available
Syzygium jambos;NA;3.427878788;0.694094079;1317.024231;NA;trait available
Tabebuia;NA;7.395803641;0.602029708;NA;NA;trait available
Tabebuia cassinoides;NA;NA;0.39;NA;NA;trait available
Tabebuia roseoalba;NA;1.39;NA;NA;259.43;trait available
Tabernaemontana catharinensis;NA;10.075;0.389120302;NA;NA;trait available
Tabernaemontana flavicans;NA;NA;0.487;NA;NA;trait available
Tabernaemontana laeta;NA;3.976666667;0.517687097;NA;NA;trait available
Tabernaemontana pachysiphon;NA;NA;0.523102673;NA;NA;trait available
Tachigali;NA;12.21361765;8.669064564;NA;NA;trait available
Tachigali chrysophylla;NA;NA;0.561987861;NA;NA;trait available
Tachigali denudata;NA;2.606666667;1.352087601;NA;NA;trait available
Tachigali multijuga;NA;NA;0.545;NA;NA;trait available
Tachigali rugosa;NA;12.594703;0.548988376;NA;NA;trait available
Talisia;NA;7.479559323;0.584148349;NA;NA;trait available
Talisia esculenta;NA;NA;0.914275;NA;NA;trait available
Talisia macrophylla;NA;1.241964925;0.613333333;NA;NA;trait available
Talisia mollis;NA;13.1808875;0.571931161;NA;NA;trait available
Tapirira guianensis;Disp;2.705114651;0.469773446;19.02455383;24.19237424;trait available
Tapirira mexicana;Disp;NA;0.78;1072.5;NA;trait available
Tapirira obtusa;Disp;6.587315578;0.290293333;84.6;NA;trait available
Tapura amazonica;NA;1.268815726;NA;NA;NA;trait available
